first_name,last_name,age,favorite_os,IQ
Avery,,33,AndroidOS,113.0
Alyssa,Castillo,38,iOS,126.0
Hunter,Carter,40,AndroidOS,122.0
Everleigh,Gonzalez,28,iOS,96.0
Everett,Lee,35,AndroidOS,110.0
Rhett,Ross,20,AndroidOS,115.0
Steve,Wright,49,iOS,96.0
Avery,Price,21,iOS,104.0
Harry,Pierce,55,AndroidOS,112.0
Bentley,Foster,73,,128.0
Marley,Jackson,35,iOS,102.0
Taylor,Gray,35,iOS,113.0
Jameson,Robinson,73,,88.0
Cole,Cooper,64,iOS,115.0
Vanessa,Lopez,66,iOS,98.0
Josie,Castillo,40,iOS,97.0
Jonny,Smith,53,AndroidOS,102.0
Bradley,Thomas,54,iOS,98.0
Presley,Palmer,73,,99.0
Mark,Richardson,30,iOS,105.0
Beckett,Bell,23,iOS,86.0
Presley,Moore,44,iOS,114.0
Merlin,Powell,25,iOS,112.0
Waylon,Baker,47,iOS,92.0
Gunther,Wood,62,iOS,102.0
River,White,48,iOS,110.0
Peyton,Foster,52,AndroidOS,121.0
Mary,Bennet,45,iOS,85.0
Mary,Little,37,AndroidOS,121.0
Jaxon,Lewis,24,Windows,97.0
Lucy,Bennet,46,AndroidOS,103.0
Holden,Pierce,53,AndroidOS,88.0
Jaxon,Howard,74,,117.0
River,Wilson,74,,109.0
Olive,Sanders,74,,94.0
Evelyn,Mitchell,71,,124.0
Andrey,Harris,28,iOS,109.0
Presley,Cox,68,AndroidOS,
Braxton,Nelson,68,AndroidOS,110.0
Wyatt,Pierce,39,AndroidOS,124.0
Andrea,AllenKing,56,AndroidOS,93.0
Christian,Myers,71,,113.0
Wyatt,Torres,40,AndroidOS,90.0
Andrea,Wood,30,iOS,99.0
Myles,Cruz,70,Windows,102.0
Cahrlie,Cooper,46,iOS,98.0
Legend,Cox,40,Windows,105.0
River,Thomas,53,iOS,112.0
Faith,Scott,41,AndroidOS,108.0
Hope,Campbell,34,iOS,111.0
Miles,Collins,39,iOS,100.0
Bob,Brooks,27,iOS,122.0
Marvin,Clark,47,iOS,101.0
Lane,Torres,52,iOS,116.0
Alexis,Campbell,62,iOS,92.0
Kimberly,Adams,41,iOS,85.0
Gracie,Gibson,47,iOS,
Dean,Hughes,37,AndroidOS,87.0
Payton,Cook,58,AndroidOS,
Brooks,Torres,71,,94.0
Bennet,Phillips,37,iOS,129.0
Gunther,Sullivan,25,iOS,126.0
Emmet,Howard,67,iOS,100.0
Millie,Thompson,73,,105.0
Blake,Ortiz,33,AndroidOS,128.0
Alby,Morgan,33,iOS,129.0
Robert,Robinson,71,,126.0
Archer,Bell,32,AndroidOS,103.0
Marvin,Powell,39,iOS,97.0
Brandon,Nguyen,32,AndroidOS,99.0
Shannon,Youmg,61,AndroidOS,109.0
Braxton,Martin,44,AndroidOS,103.0
Gideon,Sullivan,50,AndroidOS,99.0
Garett,,55,AndroidOS,
Eloise,Ruiz,31,iOS,119.0
Hunter,Price,28,iOS,128.0
Shannon,Foster,44,iOS,85.0
,Peterson,67,Windows,102.0
Hadley,Morgan,28,iOS,
Merlin,Garcia,39,iOS,127.0
Cole,Turner,56,iOS,126.0
Avery,Nguyen,71,,97.0
Jack,Smith,55,AndroidOS,100.0
Olive,Brown,35,iOS,118.0
Austin,White,69,iOS,91.0
Millie,Myers,53,iOS,115.0
,Peterson,23,Windows,111.0
Leo,Johnson,29,iOS,85.0
,Ward,59,iOS,85.0
Christian,Ruiz,22,iOS,102.0
Mary,Garcia,21,iOS,112.0
Lucy,Taylor,30,AndroidOS,93.0
Wesley,Thomas,48,AndroidOS,93.0
Lilly,Gonzalez,41,AndroidOS,90.0
Steven,Perez,66,AndroidOS,126.0
Tyler,Jimenez,34,AndroidOS,114.0
Bryce,Cooper,58,AndroidOS,128.0
Jeremy,Torres,39,iOS,107.0
Andrea,Flores,71,,124.0
Mark,Chavez,33,iOS,120.0
Beckett,Jenkins,44,iOS,113.0
Micheal,Reese,36,AndroidOS,96.0
Ashton,Long,25,iOS,92.0
Archer,Flores,30,AndroidOS,122.0
Piper,Perry,50,AndroidOS,119.0
Parker,Rivera,36,iOS,120.0
Fridge,Collins,71,,116.0
Emmet,,56,iOS,86.0
Avery,Ortiz,33,Windows,101.0
Taylor,Pierce,58,iOS,120.0
Harry,Smith,37,AndroidOS,94.0
Emmet,Brooks,68,AndroidOS,89.0
Christina,Sanders,59,AndroidOS,99.0
Parker,Wilson,53,iOS,116.0
Edward,Torres,73,,108.0
Jackson,Reese,70,iOS,108.0
Christina,Cook,47,AndroidOS,87.0
Tyler,Lewis,62,iOS,102.0
Georgia,Fry,67,iOS,113.0
Ivy,Rodriguez,71,,114.0
Arthur,Russel,68,AndroidOS,103.0
Gunther,Parker,28,iOS,85.0
Merlin,Edwards,73,,104.0
Scarlett,Chavez,28,iOS,102.0
Cole,,30,AndroidOS,114.0
Alex,Stewart,24,AndroidOS,85.0
Zoe,Reese,42,Windows,87.0
Graham,Cox,28,iOS,96.0
Christina,Ortiz,45,AndroidOS,123.0
Marley,Ramirez,56,iOS,106.0
Alexis,Gibson,25,iOS,106.0
Bryson,Lewis,44,AndroidOS,96.0
Ella,Coleman,50,iOS,
Tucker,Brooks,60,iOS,113.0
Tucker,Parker,24,iOS,85.0
Everleigh,Hill,22,iOS,104.0
Hazel,Little,62,AndroidOS,88.0
Josie,Torres,50,iOS,125.0
Parker,Richardson,60,iOS,111.0
Emma,Price,24,Windows,127.0
Bryce,Cook,39,iOS,115.0
Lucy,Jones,42,iOS,109.0
Ivor,Adams,21,iOS,103.0
Kingston,Roberts,54,iOS,117.0
Robert,Williams,30,iOS,112.0
Martha,Roberts,62,iOS,97.0
Ashton,Little,66,iOS,94.0
Parker,Lee,46,Windows,91.0
Edward,Campbell,61,Windows,111.0
Andrey,Torres,42,AndroidOS,119.0
Waylon,Hernandez,59,iOS,86.0
Alex,Clark,28,iOS,104.0
Silas,Palmer,70,iOS,125.0
Olive,Roberts,20,iOS,105.0
Martha,Lopez,20,AndroidOS,100.0
Mason,Sullivan,67,iOS,115.0
Ashley,Lewis,61,iOS,128.0
Brooke,Sullivan,20,iOS,112.0
Ivor,Edwards,65,AndroidOS,96.0
Jackson,Smith,22,iOS,85.0
Jeremy,Wilson,32,iOS,88.0
Marley,Cook,66,iOS,120.0
Gideon,Brown,45,AndroidOS,99.0
Taylor,Ortiz,48,AndroidOS,129.0
Rhett,Bell,65,Windows,127.0
Eloise,Morales,41,iOS,104.0
Cahrlie,Price,21,iOS,101.0
Alex,Reyes,21,iOS,126.0
Blake,Diaz,62,iOS,123.0
Eloise,Mendoza,62,AndroidOS,102.0
Alyssa,Fry,61,iOS,127.0
Bentley,Ross,39,iOS,123.0
Lilly,Smith,63,iOS,97.0
Andrey,Walker,72,,109.0
Alexis,Roberts,29,iOS,107.0
Lauren,Reese,46,iOS,87.0
Desirae,Parker,62,iOS,90.0
Brooke,Mendoza,69,iOS,90.0
Vanessa,Hall,37,iOS,121.0
Faith,Williams,50,AndroidOS,119.0
Cole,Smith,46,iOS,90.0
Minho,Mitchell,33,iOS,129.0
Bennet,Myers,36,iOS,101.0
Mike,Morris,33,AndroidOS,93.0
Marvin,Youmg,52,iOS,96.0
Jack,Morris,59,iOS,116.0
Myles,Clark,42,AndroidOS,91.0
Arthur,Ramos,63,iOS,95.0
Peyton,Bailey,54,iOS,94.0
Ashton,Walker,71,,105.0
Gracie,Rodriguez,57,iOS,97.0
Arthur,Price,40,Windows,97.0
Parker,Hernandez,40,iOS,110.0
Evelyn,Garcia,73,,115.0
Hailey,Wilson,61,iOS,92.0
Easton,Watson,46,iOS,85.0
Ella,Scott,68,AndroidOS,
Lane,Myers,61,iOS,85.0
Georgia,Bennet,48,iOS,98.0
,Rogers,48,AndroidOS,99.0
Harry,Fry,67,AndroidOS,95.0
Teresa,Morales,68,AndroidOS,125.0
Avery,Brown,37,iOS,129.0
Dean,Torres,21,iOS,106.0
Alyssa,Guiterrez,56,Windows,114.0
Ashton,Rogers,34,iOS,104.0
Gideon,Carter,48,iOS,95.0
Miles,Harris,39,iOS,129.0
Everleigh,Cooper,54,iOS,104.0
Spencer,Wright,31,iOS,88.0
Avery,Hughes,25,iOS,129.0
Jameson,Jimenez,71,,93.0
Graham,Long,31,iOS,94.0
Miles,Anderson,20,iOS,86.0
Blakely,Martinez,39,iOS,125.0
Payton,Rogers,59,iOS,118.0
Paul,Ortiz,57,iOS,91.0
Tom,Hernandez,53,AndroidOS,107.0
Waylon,AllenKing,27,Windows,97.0
,Ramos,69,iOS,115.0
Jackson,Gibson,23,iOS,119.0
Martha,Foster,31,AndroidOS,128.0
Ella,Fry,21,AndroidOS,126.0
Preston,Stewart,23,Windows,125.0
Miles,Mendoza,20,iOS,
Ivor,Ramos,39,iOS,86.0
Daisy,Smith,22,iOS,94.0
Hailey,Edwards,57,AndroidOS,97.0
Paige,Scott,27,AndroidOS,
Jeremy,Roberts,22,AndroidOS,86.0
Alex,Reyes,59,AndroidOS,126.0
Lena,Bell,73,,108.0
Jaxon,Sanders,45,AndroidOS,100.0
Vanessa,Bailey,31,iOS,114.0
Braxton,Price,40,AndroidOS,118.0
Journee,Robinson,67,AndroidOS,
Lisa,Jones,57,iOS,120.0
Jon,Green,61,iOS,
Vanessa,Thomas,46,iOS,122.0
Karter,Rogers,50,AndroidOS,90.0
Lincoln,Mitchell,25,AndroidOS,103.0
Avery,Mitchell,25,iOS,85.0
Millie,Howard,45,AndroidOS,114.0
Sawyer,Youmg,69,AndroidOS,103.0
Garett,Patel,30,iOS,98.0
Mike,Bailey,61,iOS,100.0
Myles,Davis,35,iOS,112.0
Zoe,Kim,34,Windows,102.0
Edward,Torres,44,iOS,90.0
Bentley,Turner,26,iOS,127.0
Bentley,Youmg,49,AndroidOS,120.0
Bennet,Cruz,23,iOS,96.0
,Ruiz,53,iOS,125.0
Vanessa,Jenkins,73,,126.0
Alby,Phillips,25,iOS,101.0
Waylon,Morris,41,iOS,95.0
Presley,Mendoza,48,iOS,107.0
Everleigh,Hill,56,iOS,106.0
Myles,Hughes,67,iOS,88.0
Merlin,Lee,28,iOS,102.0
Shannon,Johnson,51,AndroidOS,106.0
Beckett,Diaz,55,iOS,91.0
,Miller,52,AndroidOS,
Hudson,Hughes,27,AndroidOS,117.0
Hunter,Parker,50,Windows,127.0
Steve,Richardson,39,AndroidOS,108.0
Marley,Gonzalez,20,AndroidOS,94.0
Jaxon,Adams,41,iOS,114.0
Beckham,Robinson,41,iOS,98.0
Leo,Walker,57,iOS,125.0
Rhett,Wright,74,,112.0
Minho,,52,iOS,85.0
Jeremy,Price,32,iOS,
Brooks,Bell,25,AndroidOS,103.0
Ashley,Morales,53,iOS,107.0
Legend,Adams,49,Windows,116.0
Presley,Nelson,30,iOS,101.0
Bryce,Harris,49,iOS,104.0
Christina,Jenkins,65,iOS,
Avery,Ramirez,62,iOS,
Alexis,Perez,44,AndroidOS,110.0
Abdul,Alvarez,59,iOS,86.0
Bennet,Sanders,73,,90.0
Gideon,Kim,72,,126.0
Cole,Diaz,67,AndroidOS,105.0
Mark,Brooks,69,AndroidOS,108.0
Avery,Howard,35,AndroidOS,127.0
Oscar,Cruz,69,iOS,85.0
Wyatt,Stewart,34,AndroidOS,87.0
Emma,Davis,30,iOS,
Oscar,Bell,51,iOS,96.0
Parker,Martinez,28,iOS,
Brandon,Baker,33,iOS,88.0
Scarlett,Wilson,56,iOS,91.0
Waylon,Ramos,28,iOS,112.0
Hope,Ortiz,23,iOS,123.0
Daisy,Price,23,iOS,113.0
Holden,Perez,25,AndroidOS,126.0
Sawyer,Rogers,54,AndroidOS,
Zoe,Cruz,59,iOS,127.0
Ashton,Rogers,54,iOS,125.0
Hailey,Miller,41,AndroidOS,114.0
Gracie,Bailey,44,iOS,99.0
Shannon,AllenKing,43,AndroidOS,105.0
Journee,Gomez,29,AndroidOS,102.0
Bradley,Wilson,31,iOS,128.0
Jaxon,Castillo,71,,108.0
Minho,Flores,59,AndroidOS,104.0
Parker,Gray,28,iOS,128.0
Robert,Howard,45,AndroidOS,86.0
Vivian,Patel,68,iOS,126.0
Eloise,Jones,38,iOS,120.0
Fridge,Scott,65,AndroidOS,108.0
Jonny,Palmer,30,iOS,109.0
Dean,Wood,24,iOS,123.0
Robert,Richardson,24,AndroidOS,
Dean,Miller,67,AndroidOS,90.0
Jonny,Martin,37,iOS,91.0
Avery,Murphy,40,iOS,89.0
Eloise,Cox,66,AndroidOS,94.0
Payton,Watson,29,AndroidOS,89.0
Peyton,Martinez,69,iOS,110.0
Natasha,Evans,27,AndroidOS,125.0
Beckett,Hall,67,iOS,128.0
Josie,Thomas,53,iOS,86.0
Alby,Turner,70,iOS,90.0
Jaxon,Sancherz,24,AndroidOS,108.0
Faith,Guiterrez,42,iOS,125.0
Mark,Reese,20,AndroidOS,127.0
Walker,Bell,46,iOS,115.0
Christina,Hughes,48,AndroidOS,100.0
Merlin,Gray,67,iOS,109.0
Steven,Sancherz,45,iOS,128.0
Abdul,Ross,61,AndroidOS,126.0
Ellie,Baker,36,AndroidOS,121.0
Hunter,Russel,47,iOS,92.0
Alby,Ortiz,68,iOS,104.0
Presley,Bennet,34,iOS,101.0
Holden,Reyes,37,iOS,104.0
Colton,Cox,35,AndroidOS,101.0
Cole,Gonzalez,46,AndroidOS,119.0
Rhett,Robinson,27,AndroidOS,117.0
Tom,Garcia,49,AndroidOS,101.0
Ivor,Gomez,60,AndroidOS,116.0
Marvin,Jones,49,iOS,101.0
Austin,Taylor,28,AndroidOS,
Taylor,Martin,34,iOS,106.0
Martha,Ward,20,iOS,117.0
Brooke,Smith,68,iOS,85.0
Abdul,Palmer,27,iOS,108.0
Eloise,Kelly,46,iOS,
Andrey,Moore,57,iOS,113.0
Bryce,Youmg,67,AndroidOS,
Hazel,Wilson,22,AndroidOS,92.0
Bryce,Cook,22,iOS,110.0
Martha,Hughes,20,iOS,107.0
Josie,Martinez,59,Windows,85.0
Eleanor,Ortiz,49,Windows,87.0
Jonathan,Davis,45,iOS,108.0
Avery,Moore,60,AndroidOS,126.0
Minho,Adams,22,iOS,98.0
Paul,Jenkins,48,iOS,118.0
Hope,Myers,71,,128.0
Graham,Rodriguez,58,AndroidOS,
Blake,Williams,58,iOS,111.0
Lena,Campbell,32,iOS,123.0
Hazel,Adams,54,AndroidOS,118.0
Evelyn,Wilson,20,AndroidOS,
Hazel,Kelly,48,iOS,111.0
Lena,Moore,69,Windows,
Taylor,Collins,65,iOS,104.0
Tyler,Flores,36,iOS,90.0
Hailey,Perry,41,iOS,109.0
Piper,Garcia,58,iOS,87.0
Kimberly,Scott,51,iOS,99.0
Kinsley,Rivera,72,,129.0
Brandon,Kim,25,iOS,103.0
Miles,Mitchell,57,iOS,114.0
Bennet,Anderson,27,Windows,115.0
Hazel,Bennet,41,AndroidOS,102.0
Mark,Bloom,48,AndroidOS,91.0
Colton,Gonzalez,49,iOS,
Bryce,Kim,62,AndroidOS,90.0
Olive,Gonzalez,65,iOS,129.0
Leo,Brooks,50,iOS,93.0
King,Kelly,22,AndroidOS,115.0
Jonathan,Patel,60,Windows,128.0
,Gonzalez,48,AndroidOS,103.0
Colton,Garcia,31,AndroidOS,95.0
Madison,Gray,59,iOS,97.0
Peyton,Ortiz,45,iOS,123.0
Fridge,,62,iOS,98.0
Jonathan,Stewart,44,iOS,114.0
Tom,Harris,55,AndroidOS,87.0
King,Reed,50,AndroidOS,87.0
Faith,Scott,42,AndroidOS,113.0
Desirae,Coleman,45,AndroidOS,
Wyatt,Morris,65,AndroidOS,101.0
Bentley,James,27,AndroidOS,105.0
Hope,Garcia,24,AndroidOS,93.0
Steve,Price,41,iOS,104.0
Blake,Bell,27,iOS,121.0
Ellie,AllenKing,30,AndroidOS,96.0
Ella,,51,AndroidOS,95.0
Blakely,Turner,22,AndroidOS,104.0
Nash,Adams,42,Windows,
Cahrlie,Ruiz,71,,
Emma,Cooper,41,iOS,125.0
Journee,Ramos,62,AndroidOS,87.0
Micheal,Anderson,43,iOS,125.0
Merlin,Perez,61,AndroidOS,92.0
Hailey,Martinez,38,AndroidOS,126.0
Natasha,Parker,57,Windows,103.0
Minho,Reyes,37,AndroidOS,88.0
Lilly,Clark,35,AndroidOS,94.0
Jeremy,Nguyen,52,AndroidOS,110.0
Parker,Nguyen,69,iOS,127.0
Arthur,Murphy,29,iOS,91.0
Lena,Wood,39,iOS,
Vivian,White,64,iOS,115.0
,Campbell,48,iOS,113.0
Jameson,Martinez,66,iOS,102.0
Marvin,Scott,69,iOS,
Brooks,Johnson,28,iOS,127.0
Jameson,Bloom,38,AndroidOS,102.0
Landon,Williams,25,iOS,92.0
Tom,Williams,20,AndroidOS,107.0
Sawyer,Wood,34,iOS,98.0
Peyton,Cooper,35,iOS,
Spencer,Sullivan,61,iOS,96.0
Steven,Lewis,71,,92.0
Jonathan,Coleman,26,iOS,97.0
Avery,Morales,25,AndroidOS,
Mary,Palmer,70,AndroidOS,101.0
Bryce,Richardson,51,AndroidOS,111.0
Oscar,James,37,iOS,129.0
Jon,AllenKing,39,AndroidOS,99.0
Eloise,Ruiz,36,iOS,112.0
Gracie,Chavez,38,iOS,96.0
Taylor,Campbell,66,Windows,110.0
Natasha,Cox,68,AndroidOS,125.0
Spencer,Reyes,57,AndroidOS,88.0
Jonny,Gibson,67,iOS,103.0
Vanessa,Edwards,71,,117.0
Myles,Moore,37,iOS,127.0
Ivor,Baker,66,iOS,98.0
Lincoln,Flores,47,iOS,91.0
Hailey,Reed,53,AndroidOS,118.0
Bob,Coleman,44,AndroidOS,111.0
Ivy,Stewart,22,iOS,113.0
Georgia,Green,35,AndroidOS,91.0
Bruce,Carter,27,AndroidOS,89.0
Marvin,Robinson,26,AndroidOS,92.0
Blakely,,44,iOS,98.0
Emma,Stewart,50,iOS,95.0
River,Stewart,56,iOS,115.0
Lisa,Colon,60,AndroidOS,102.0
,Morales,22,iOS,104.0
Mike,Hall,63,iOS,125.0
Steve,Rivera,27,AndroidOS,93.0
Easton,Reed,34,iOS,109.0
Wyatt,Taylor,41,AndroidOS,96.0
Jaxon,Fry,45,AndroidOS,97.0
Lisa,Evans,56,iOS,122.0
Faith,Reese,29,iOS,97.0
Preston,Scott,45,AndroidOS,116.0
Bryson,Adams,21,iOS,117.0
Rhett,Jones,47,AndroidOS,89.0
River,Perez,26,AndroidOS,107.0
Georgia,Murphy,50,AndroidOS,129.0
Dean,Alvarez,42,AndroidOS,119.0
Faith,Bloom,52,AndroidOS,93.0
Bob,,65,AndroidOS,105.0
Vanessa,Wright,44,AndroidOS,125.0
Peyton,Rivera,64,AndroidOS,126.0
Brooks,Anderson,29,Windows,91.0
Steve,Brooks,66,iOS,126.0
Jaxon,Kim,50,AndroidOS,126.0
Hudson,Smith,66,AndroidOS,105.0
Alex,Reed,60,iOS,85.0
Abdul,Patel,39,iOS,105.0
Hadley,Stewart,40,iOS,100.0
Josie,Chavez,30,iOS,123.0
Blake,Gray,57,iOS,128.0
Cole,Mendoza,35,Windows,125.0
Mike,Guiterrez,33,iOS,106.0
Christian,Pierce,66,iOS,111.0
Legend,,55,AndroidOS,94.0
Paul,Garcia,37,iOS,111.0
Bradley,Evans,24,iOS,121.0
Mary,Bell,65,iOS,106.0
Jon,Murphy,31,AndroidOS,122.0
Bob,Price,64,AndroidOS,109.0
,Powell,32,AndroidOS,89.0
Hope,Stewart,28,AndroidOS,120.0
Christina,,64,iOS,96.0
Waylon,Palmer,62,AndroidOS,85.0
Julian,Scott,21,iOS,90.0
Madison,Robinson,57,AndroidOS,124.0
Cole,Brown,30,iOS,99.0
Sawyer,Parker,57,iOS,89.0
Everleigh,Torres,29,iOS,85.0
Lucy,Palmer,73,,99.0
Presley,Thomas,26,iOS,119.0
Beckett,Baker,69,iOS,122.0
Hadley,Gonzalez,71,,108.0
Ellie,Price,37,AndroidOS,112.0
Beckett,Guiterrez,41,AndroidOS,86.0
Madison,Wood,35,iOS,88.0
Hudson,Coleman,32,AndroidOS,91.0
Holden,Diaz,46,iOS,97.0
Parker,Howard,51,iOS,129.0
Kimberly,Gray,38,AndroidOS,108.0
Hayden,James,28,iOS,97.0
Christian,Martin,49,iOS,118.0
Waylon,Ramos,53,iOS,102.0
Madison,Hernandez,70,AndroidOS,
Olive,James,72,,109.0
Christian,Fry,58,iOS,91.0
Beckett,Mendoza,38,iOS,120.0
Lincoln,Howard,56,AndroidOS,107.0
Shannon,Howard,46,AndroidOS,90.0
Alby,White,63,AndroidOS,97.0
Paige,Flores,46,iOS,115.0
Shannon,Pierce,42,AndroidOS,101.0
Steven,Flores,37,iOS,115.0
Alex,Phillips,20,iOS,91.0
Miles,Lopez,54,iOS,86.0
Gracie,Nelson,66,iOS,110.0
,Youmg,68,iOS,129.0
Hadley,Robinson,51,AndroidOS,85.0
Hadley,Gomez,39,iOS,88.0
Parker,Green,57,iOS,95.0
Edward,Russel,36,iOS,120.0
Ivy,Bloom,37,AndroidOS,115.0
Brandon,Pierce,26,iOS,110.0
Shannon,Hughes,34,iOS,117.0
Brandon,Little,46,AndroidOS,114.0
Holden,Ruiz,50,iOS,119.0
Everett,Murphy,50,iOS,90.0
Weston,Pierce,71,,113.0
Bennet,Fry,68,iOS,125.0
Tyler,Howard,33,AndroidOS,125.0
Brooke,Howard,71,,129.0
Arthur,Garcia,31,AndroidOS,100.0
Blake,Morales,30,AndroidOS,94.0
Vanessa,Ward,34,iOS,125.0
Bradley,Lewis,35,iOS,112.0
Steve,,39,AndroidOS,111.0
Ivy,Moore,25,AndroidOS,109.0
Natasha,Ross,51,AndroidOS,129.0
Desirae,Thomas,61,iOS,96.0
Jonny,Gibson,56,AndroidOS,111.0
Hudson,Sanders,22,iOS,
Garett,Sancherz,69,iOS,87.0
Archer,,43,iOS,
Desirae,Colon,63,AndroidOS,97.0
Ashton,Myers,41,AndroidOS,99.0
Mark,Collins,55,Windows,125.0
Madison,Evans,72,,89.0
Desirae,Turner,56,iOS,125.0
Hazel,Flores,64,iOS,104.0
Kingston,Powell,35,AndroidOS,102.0
Legend,Brown,37,iOS,101.0
Ashton,Ramirez,44,iOS,106.0
Christina,Howard,47,iOS,107.0
Miles,Coleman,23,AndroidOS,95.0
Ellie,Reese,34,iOS,92.0
Karter,Cook,43,AndroidOS,106.0
Paul,Wilson,49,iOS,126.0
Zoe,Baker,72,,108.0
Parker,Fry,62,Windows,106.0
Bryson,Williams,38,iOS,100.0
Remington,Ross,50,iOS,101.0
Vivian,Jones,51,iOS,118.0
Blake,Foster,37,AndroidOS,129.0
Avery,Gibson,56,iOS,127.0
Abdul,Parker,33,iOS,85.0
Jon,Flores,64,AndroidOS,113.0
Millie,Gonzalez,49,Windows,85.0
Eloise,Ramirez,57,iOS,128.0
Desirae,Parker,67,iOS,93.0
Alby,Foster,26,iOS,88.0
Ivy,Scott,35,AndroidOS,
Alex,Miller,32,iOS,107.0
Karter,Bell,20,iOS,99.0
Emmet,Coleman,34,iOS,
Ron,Baker,57,AndroidOS,113.0
Remington,Cox,38,iOS,93.0
Millie,Harris,44,iOS,
Alex,Jackson,41,iOS,127.0
Lane,Anderson,21,iOS,95.0
Hadley,Hall,31,iOS,94.0
Landon,Sanders,56,AndroidOS,97.0
Robert,Coleman,54,iOS,106.0
Cahrlie,Parker,44,AndroidOS,98.0
Dean,Pierce,41,iOS,93.0
Marley,Thompson,37,iOS,104.0
Scarlett,Morris,47,AndroidOS,
Kingston,Turner,71,,95.0
Tucker,Brooks,20,iOS,98.0
Hudson,Reyes,49,AndroidOS,121.0
Alex,Lewis,40,iOS,106.0
Andrea,Ross,28,iOS,108.0
Fridge,Wood,64,AndroidOS,120.0
Paige,Mitchell,27,AndroidOS,100.0
Peyton,Cruz,68,iOS,112.0
Braxton,Johnson,30,Windows,
Martha,Brown,25,iOS,96.0
Blake,Cox,42,AndroidOS,93.0
Mason,Stewart,44,iOS,106.0
Arthur,Cox,64,AndroidOS,127.0
Bob,Alvarez,37,AndroidOS,99.0
Minho,Cox,32,iOS,113.0
Lucy,Brown,69,AndroidOS,112.0
Jonathan,Powell,49,AndroidOS,122.0
Journee,Clark,40,AndroidOS,101.0
Andrey,Walker,22,iOS,86.0
Ashton,Coleman,56,iOS,89.0
Hadley,Moore,44,iOS,125.0
Steve,Sancherz,31,iOS,93.0
Kinsley,Walker,69,AndroidOS,98.0
Tyler,Wilson,64,AndroidOS,125.0
Presley,Sanders,47,AndroidOS,111.0
Garett,Bailey,25,AndroidOS,97.0
Steve,Clark,61,iOS,107.0
Spencer,Reyes,69,iOS,98.0
Jack,Watson,41,AndroidOS,119.0
Rhett,Price,32,iOS,110.0
Avery,Anderson,48,iOS,
,Perez,63,AndroidOS,107.0
Hope,Bailey,22,AndroidOS,120.0
Mike,Alvarez,38,iOS,114.0
Lena,Sanders,61,iOS,98.0
Garett,Jones,74,,122.0
Natasha,Davis,57,iOS,128.0
Mark,Taylor,63,iOS,118.0
Tyler,Cooper,63,iOS,93.0
Payton,Watson,27,iOS,101.0
Tucker,Brown,32,iOS,119.0
Jaxon,Cook,49,iOS,88.0
Hailey,Watson,36,iOS,114.0
Austin,Phillips,31,AndroidOS,104.0
Lauren,White,50,iOS,108.0
Millie,Richardson,69,iOS,117.0
Gracie,Campbell,32,iOS,107.0
Archer,Evans,52,iOS,126.0
Minho,Russel,22,iOS,107.0
Jackson,Nguyen,64,Windows,112.0
Jack,Davis,29,AndroidOS,93.0
Josie,Cooper,23,iOS,88.0
Jonny,Price,69,Windows,
Lincoln,Gonzalez,34,Windows,107.0
Julian,Price,54,iOS,90.0
Andrea,Diaz,36,AndroidOS,92.0
Lauren,Cruz,27,iOS,85.0
Josie,Watson,29,iOS,94.0
Avery,Harris,23,iOS,125.0
Eleanor,Reese,30,iOS,111.0
Austin,Adams,22,iOS,86.0
Ivor,Martinez,36,iOS,85.0
Eloise,Mitchell,37,iOS,97.0
Zoe,,55,iOS,
Lauren,Rivera,70,iOS,98.0
Ella,Murphy,35,Windows,108.0
Leo,Walker,67,iOS,
Jameson,Cruz,42,AndroidOS,112.0
Andrey,Wood,53,AndroidOS,101.0
Wyatt,Martin,30,iOS,116.0
Emmet,Jimenez,70,iOS,110.0
Beckett,Coleman,64,AndroidOS,91.0
Graham,Roberts,43,iOS,111.0
,Fry,30,AndroidOS,128.0
Everett,Castillo,41,iOS,122.0
Edward,Stewart,65,iOS,95.0
Mark,Ramirez,57,iOS,98.0
Cahrlie,Ward,25,Windows,91.0
Eleanor,Moore,45,iOS,110.0
Hudson,Reese,74,,105.0
Myles,Richardson,59,iOS,
Nash,Clark,28,iOS,92.0
Archer,Kelly,33,iOS,99.0
Bob,Brooks,51,iOS,106.0
Waylon,Coleman,69,iOS,117.0
Avery,Pierce,25,iOS,101.0
,Coleman,46,AndroidOS,121.0
Rhett,Watson,46,iOS,111.0
Ivy,Perez,65,AndroidOS,87.0
Colton,Torres,41,iOS,96.0
Hudson,Ramirez,32,iOS,128.0
Silas,Myers,40,AndroidOS,94.0
Bryce,Smith,61,iOS,111.0
,Nguyen,50,AndroidOS,119.0
Gracie,Patel,67,AndroidOS,86.0
Beckett,Davis,34,iOS,99.0
Gunther,Torres,36,AndroidOS,117.0
Journee,Sancherz,72,,90.0
Millie,Morgan,41,AndroidOS,86.0
Garett,Rivera,21,iOS,98.0
Payton,Bloom,23,iOS,109.0
Hailey,Jenkins,26,AndroidOS,87.0
Madison,Patel,57,AndroidOS,111.0
Mary,Hernandez,45,iOS,87.0
Brooks,Martin,54,AndroidOS,128.0
Roary,Reed,51,iOS,125.0
Olive,Jackson,71,,114.0
Natasha,Rivera,45,iOS,95.0
Rhett,Peterson,22,iOS,105.0
Ella,Scott,61,iOS,106.0
Ron,Evans,25,AndroidOS,116.0
